Tailwater,Headwater,Flow
0.00,0.00,0.00
0.00,0.58,20.00
0.00,0.84,40.00
0.00,1.06,60.00
0.00,1.25,80.00
0.00,1.42,100.00
0.00,1.59,120.00
0.00,1.74,140.00
0.00,1.89,160.00
0.00,2.03,180.00
0.00,2.16,200.00
0.00,2.29,220.00
0.00,2.42,240.00
0.00,2.55,260.00
0.00,2.67,280.00
0.00,2.79,300.00
0.00,2.90,320.00
0.00,3.02,340.00
0.00,3.13,360.00
0.00,3.24,380.00
0.00,3.35,400.00
0.00,3.46,420.00
0.00,3.57,440.00
0.00,3.67,460.00
0.00,3.78,480.00
0.00,3.88,500.00
0.00,3.98,520.00
0.00,4.09,540.00
0.00,4.19,560.00
0.00,4.29,580.00
0.00,4.39,600.00
0.00,4.49,620.00
0.10,0.10,0.00
0.10,0.58,20.00
0.10,0.84,40.00
0.10,1.06,60.00
0.10,1.25,80.00
0.10,1.42,100.00
0.10,1.59,120.00
0.10,1.74,140.00
0.10,1.89,160.00
0.10,2.03,180.00
0.10,2.16,200.00
0.10,2.29,220.00
0.10,2.42,240.00
0.10,2.55,260.00
0.10,2.67,280.00
0.10,2.79,300.00
0.10,2.90,320.00
0.10,3.02,340.00
0.10,3.13,360.00
0.10,3.24,380.00
0.10,3.35,400.00
0.10,3.46,420.00
0.10,3.57,440.00
0.10,3.67,460.00
0.10,3.78,480.00
0.10,3.88,500.00
0.10,3.98,520.00
0.10,4.09,540.00
0.10,4.19,560.00
0.10,4.29,580.00
0.10,4.39,600.00
0.10,4.49,620.00
0.20,0.20,0.00
0.20,0.58,20.00
0.20,0.84,40.00
0.20,1.06,60.00
0.20,1.25,80.00
0.20,1.42,100.00
0.20,1.59,120.00
0.20,1.74,140.00
0.20,1.89,160.00
0.20,2.03,180.00
0.20,2.16,200.00
0.20,2.29,220.00
0.20,2.42,240.00
0.20,2.55,260.00
0.20,2.67,280.00
0.20,2.79,300.00
0.20,2.90,320.00
0.20,3.02,340.00
0.20,3.13,360.00
0.20,3.24,380.00
0.20,3.35,400.00
0.20,3.46,420.00
0.20,3.57,440.00
0.20,3.67,460.00
0.20,3.78,480.00
0.20,3.88,500.00
0.20,3.98,520.00
0.20,4.09,540.00
0.20,4.19,560.00
0.20,4.29,580.00
0.20,4.39,600.00
0.20,4.49,620.00
0.30,0.30,0.00
0.30,0.58,20.00
0.30,0.84,40.00
0.30,1.06,60.00
0.30,1.25,80.00
0.30,1.42,100.00
0.30,1.59,120.00
0.30,1.74,140.00
0.30,1.89,160.00
0.30,2.03,180.00
0.30,2.16,200.00
0.30,2.29,220.00
0.30,2.42,240.00
0.30,2.55,260.00
0.30,2.67,280.00
0.30,2.79,300.00
0.30,2.90,320.00
0.30,3.02,340.00
0.30,3.13,360.00
0.30,3.24,380.00
0.30,3.35,400.00
0.30,3.46,420.00
0.30,3.57,440.00
0.30,3.67,460.00
0.30,3.78,480.00
0.30,3.88,500.00
0.30,3.98,520.00
0.30,4.09,540.00
0.30,4.19,560.00
0.30,4.29,580.00
0.30,4.39,600.00
0.30,4.49,620.00
0.40,0.40,0.00
0.40,0.59,20.00
